"","ccode","population","exp.total","exp.consumption","exp.military","exp.military.wdi","order","exp.econaffairs","exp.environment","exp.housing","exp.health","exp.recreation","exp.education","exp.socprot","exp.genservices","ginv","revenues","gfinworth","gout","gemp","tariffs","soc.oldage","soc.survivors","soc.incap","soc.health","soc.family","soc.labmkt","soc.unempl","soc.housing","soc.other","soc.total","reg.prodmarket","reg.statecontrol","reg.pubown","reg.bizinvolve","reg.entbarrs","reg.startup","reg.barriers","reg.barriers.expl","reg.barriers.other","reg.soes","reg.commandreg","reg.pricecon","reg.permits","reg.complexreg","reg.commrules","reg.aburd.major","reg.aburd.sole","reg.legbarrs","reg.incumbents","reg.antitrustex","reg.tariffs","reg.directcontrols","reg.fdibarrs","reg.govnet","reg.netbarrs","reg.govsoes","reg.servbarrs","reg.forreg","reg.bartfacil","reg.prof.legal.reg","reg.prof.legal.entry","reg.prof.legal.entry.excl","reg.prof.legal.entry.edu","reg.prof.legal.entry.mem","reg.prof.legal.entry.quot","reg.prof.legal.conduct","reg.prof.legal.conduct.prices","reg.prof.legal.conduct.bizform","reg.prof.legal.conduct.adv","reg.prof.legal.conduct.coop","reg.prof.arch.reg","reg.prof.arch.entry","reg.prof.arch.entry.excl","reg.prof.arch.entry.edu","reg.prof.arch.entry.mem","reg.prof.arch.entry.quot","reg.prof.arch.conduct","reg.prof.arch.conduct.prices","reg.prof.arch.conduct.bizform","reg.prof.arch.conduct.adv","reg.prof.arch.conduct.coop","reg.prof.eng.reg","reg.prof.eng.entry","reg.prof.eng.entry.excl","reg.prof.eng.entry.edu","reg.prof.eng.entry.mem","reg.prof.eng.entry.quot","reg.prof.eng.conduct","reg.prof.eng.conduct.prices","reg.prof.eng.conduct.bizform","reg.prof.eng.conduct.adv","reg.prof.eng.conduct.coop","reg.prof.acc.reg","reg.prof.acc.entry","reg.prof.acc.entry.excl","reg.prof.acc.entry.edu","reg.prof.acc.entry.mem","reg.prof.acc.entry.quot","reg.prof.acc.conduct","reg.prof.acc.conduct.prices","reg.prof.acc.conduct.bizform","reg.prof.acc.conduct.adv","reg.prof.acc.conduct.coop","reg.ret.overall","reg.ret.reglic","reg.ret.largeo","reg.ret.protfirms","reg.ret.ophours","reg.ret.pricecon","reg.ret.promo","tax.supra.tot","tax.supra.inc","tax.supra.inc.indiv","tax.supra.inc.corp","tax.supra.inc.oth","tax.supra.ss","tax.supra.ss.workers","tax.supra.ss.emplr","tax.supra.ss.self","tax.supra.ss.oth","tax.supra.payroll","tax.supra.prop","tax.supra.prop.wealth","tax.supra.prop.estate","tax.supra.prop.ftrans","tax.supra.prop.nonrecur","tax.supra.prop.oth","tax.supra.gst","tax.supra.gst.xfer","tax.supra.gst.use","tax.supra.gst.oth","tax.supra.other","tax.fed.tot","tax.fed.inc","tax.fed.inc.indiv","tax.fed.inc.corp","tax.fed.inc.oth","tax.fed.ss","tax.fed.ss.workers","tax.fed.ss.emplr","tax.fed.ss.self","tax.fed.ss.oth","tax.fed.payroll","tax.fed.prop","tax.fed.prop.wealth","tax.fed.prop.estate","tax.fed.prop.ftrans","tax.fed.prop.nonrecur","tax.fed.prop.oth","tax.fed.gst","tax.fed.gst.xfer","tax.fed.gst.use","tax.fed.gst.oth","tax.fed.other","tax.state.tot","tax.state.inc","tax.state.inc.indiv","tax.state.inc.corp","tax.state.inc.oth","tax.state.ss","tax.state.ss.workers","tax.state.ss.emplr","tax.state.ss.self","tax.state.ss.oth","tax.state.payroll","tax.state.prop","tax.state.prop.wealth","tax.state.prop.estate","tax.state.prop.ftrans","tax.state.prop.nonrecur","tax.state.prop.oth","tax.state.gst","tax.state.gst.xfer","tax.state.gst.use","tax.state.gst.oth","tax.state.other","tax.local.tot","tax.local.inc","tax.local.inc.indiv","tax.local.inc.corp","tax.local.inc.oth","tax.local.ss","tax.local.ss.workers","tax.local.ss.emplr","tax.local.ss.self","tax.local.ss.oth","tax.local.payroll","tax.local.prop","tax.local.prop.wealth","tax.local.prop.estate","tax.local.prop.ftrans","tax.local.prop.nonrecur","tax.local.prop.oth","tax.local.gst","tax.local.gst.xfer","tax.local.gst.use","tax.local.gst.oth","tax.local.other","tax.socsec.tot","tax.socsec.inc","tax.socsec.inc.indiv","tax.socsec.inc.corp","tax.socsec.inc.oth","tax.socsec.ss","tax.socsec.ss.workers","tax.socsec.ss.emplr","tax.socsec.ss.self","tax.socsec.ss.oth","tax.socsec.payroll","tax.socsec.prop","tax.socsec.prop.wealth","tax.socsec.prop.estate","tax.socsec.prop.ftrans","tax.socsec.prop.nonrecur","tax.socsec.prop.oth","tax.socsec.gst","tax.socsec.gst.xfer","tax.socsec.gst.use","tax.socsec.gst.oth","tax.socsec.other","tax.all.tot","tax.all.inc","tax.all.inc.indiv","tax.all.inc.corp","tax.all.inc.oth","tax.all.ss","tax.all.ss.workers","tax.all.ss.emplr","tax.all.ss.self","tax.all.ss.oth","tax.all.payroll","tax.all.prop","tax.all.prop.wealth","tax.all.prop.estate","tax.all.prop.ftrans","tax.all.prop.nonrecur","tax.all.prop.oth","tax.all.gst","tax.all.gst.xfer","tax.all.gst.use","tax.all.gst.oth","tax.all.other","scode","country","polity2"
"1",2,322987045.3,38.18333333,14.19121615,3.536666667,3.196244613,2.063333333,3.416666667,0,0.543333333,8.873333333,0.253333333,6.18,7.936666667,5.376666667,3.226666667,33.39,-81.00666667,NA,15.51333333,1.673333333,6.416,0.661,1.505,14.049,0.642,0.105,0.198,0.26,0.797,24.634,1.5905634,2.7027779,3.0270834,2.3784723,1.5531635,1.4074074,0.51574892,0.26679546,0.76470238,2.9000001,2.1944444,2.5625,2,1.1319444,0.2638889,0.60000002,0.60000002,0.46666667,2.1201389,2.9000001,0,3,0.53359091,0.58333331,2.9937501,5.625,3.0222223,1.3419048,0.1875,1.4583334,1.6666667,3,3.6666667,0,0,1.25,0,2,3,0,0.75,0.75,0,3,0,0,0.75,0,0,3,0,0.79166663,0.83333331,0,3.3333333,0,0,0.75,0,0,3,0,1.25,1.75,3,4,0,0,0.75,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.239,10.354,8.551,1.803,0,0,NA,NA,NA,NA,0,0.111,0,0.111,0,0,0,0.774,0.774,0,0,0,5.074,2.167,1.896,0.272,0,0,NA,NA,NA,NA,0,0.11,0,0.026,0,0,0.02,2.796,2.379,0.417,0,0,3.694,0.223,0.169,0.055,0,0,NA,NA,NA,NA,0,2.609,0,0.002,0,0,0.026,0.861,0.613,0.248,0,0,6.229,0,NA,NA,NA,6.229,2.778,3.113,0.338,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,26.235,12.745,10.616,2.129,0,6.229,2.778,3.113,0.338,0,0,2.831,0,0.14,0,0,0.046,4.43,3.766,0.664,0,0,"USA","United States",10
"2",20,36117554.33,40.54333333,20.90216938,NA,1.200660161,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.78,39.31333333,-30.57333333,77.49,18.16666667,1.576666667,4.351,0.347,0.752,7.28,1.552,0.235,0.619,0.304,2.187,17.628,1.4248413,1.9195344,2.2132185,1.6258504,1.3438802,1.3163581,1.0111092,0.51840907,1.5038095,2.5999999,1.2976191,1.9540817,2,1.2853974,0.57079476,0,0.2,0.68965518,1.429885,0.64999998,0,0.58620691,1.0368181,1.9166666,2.95,3.75,3.7490742,1.8409524,1.1666666,3.2291667,4.0833335,6,4.3333335,6,0,2.375,0,2,3,4.5,3.2708335,3.9166667,6,3.6666667,6,0,2.625,1,2,3,4.5,2.5833333,4.1666665,6,4.6666665,6,0,1,4,0,0,0,3.5,4.25,6,5,6,0,2.75,0,2,3,6,2.4976189,5.6999998,0,3,2.2857144,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.447,9.602,7.184,2.085,0.333,1.186,0.491,0.695,0,0,0,0,NA,NA,NA,NA,NA,2.66,2.658,0.002,0,0,12.923,6.183,4.861,1.322,0,0.696,0.057,0.64,0,0,0.667,0.59,0.019,0.013,0.196,0.09,0,4.786,4.362,0.424,0,0,3.356,0,NA,NA,NA,0,NA,NA,NA,NA,0,3.264,0,0,0.05,0.364,0,0.058,0.006,0.052,0,0.034,2.951,0,NA,NA,NA,2.951,1.393,1.393,0.166,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,32.678,15.785,12.045,3.407,0.333,4.833,1.94,2.727,0.166,0,0.667,3.854,0.019,0.013,0.246,0.454,0,7.504,7.026,0.478,0,0.034,"CAN","Canada",10
"3",70,123322986,24.50333333,12.02838383,NA,0.574437325,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24.07333333,-12.87,NA,NA,3.346666667,2.05,0.188,0.035,3.003,1.03,0.005,NA,0.896,0.475,7.682,1.9062263,2.0166087,2.5905092,1.4427084,2.1854842,2.4302468,1.5165861,1.3713864,1.6617857,2.95,0.54166669,2.34375,2.6666667,1.4092786,0.15189044,1.6,2.5999999,1.3666667,2.7169271,2.95,1.5,0.91203701,1.2427728,2.75,3.8341146,3.75,3.0907409,1.7592857,1.5642858,1.7083334,3.4166667,6,1.6666666,0,6,0,0,0,0,0,1.2083334,2.4166667,6,3.6666667,0,0,0,0,0,0,0,0.95833331,1.9166666,6,1.6666666,0,0,0,0,0,0,0,1.3333333,1.9166666,6,1.6666666,0,0,0.75,0,0,3,0,2.1095238,4.8000002,4,3,0,0.85714287,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.807,6.639,3.287,3.196,0.155,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,6.021,6.018,0.003,0,0.148,0.666,0,NA,NA,NA,0,NA,NA,NA,NA,0.379,0.121,0,0,0.044,0,0,0.131,0.024,0.108,0,0.035,0.252,0,NA,NA,NA,0,NA,NA,NA,NA,0,0.19,0,0,0.062,0,0,0.004,0.004,0,0,0.058,2.208,0,NA,NA,NA,2.208,NA,NA,NA,2.208,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,15.933,6.639,3.287,3.196,0.155,2.208,NA,NA,NA,2.208,0.379,0.311,0,0,0.106,0,0,6.156,6.045,0.111,0,0.241,"MEX","Mexico",8
"4",155,18216286.67,NA,13.59616693,NA,1.917319248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.463333333,NA,NA,2.34,3.517,0.823,1.001,4.876,1.701,0.163,0.457,0.797,0.388,13.722,1.5142038,2.0950522,2.2447917,1.9453125,2.0217474,1.1219137,0.42581168,0.17215909,0.67946428,2.4749999,1.5,2.390625,6,3.75,1.5,1.2,0.80000001,0.46666667,1.1933284,0,0,0.96250004,0.34431818,1.7916666,3.1133184,3.75,1.3657408,0.1,1.2589285,1.3541667,1.9583334,6,1.8333334,0,0,0.75,3,0,0,0,1.0833333,1.9166666,6,1.6666666,0,0,0.25,1,0,0,0,1.125,2,6,2,0,0,0.25,1,0,0,0,1.7083333,1.9166666,6,1.6666666,0,0,1.5,6,0,0,0,1,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.704,7.419,2.005,4.285,1.129,0.272,0.232,0.04,0,0,0,0.238,0,0.058,0.17,0,0,10.139,10.106,0.032,0,-0.363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54,0,0,0,0,0,NA,NA,NA,NA,0,0.653,0,0,0,0,0,0.887,0.242,0.645,0,0,1.139,0,0,0,0,1.139,1.139,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,20.383,7.419,2.005,4.285,1.129,1.411,1.371,0.04,0,0,0,0.89,0,0.058,0.17,0,0,11.026,10.348,0.678,0,-0.363,"CHL","Chile",10
"5",200,65594428.33,43.75666667,18.67775159,2.183333333,1.813828678,2.07,3.07,0.793333333,0.466666667,7.55,0.68,5.286666667,16.63,5,2.58,38.56333333,-77.87,79.10333333,16.86666667,1.88,7.263,0.051,1.949,7.717,3.474,0.188,0.272,1.535,0.105,22.552,1.0840274,1.5711745,2.1371408,1.0052083,1.4854102,1.3561729,0.19549757,0.18322727,0.20776786,1.4,1.0416666,0.96875,4.6666665,2.4604745,0.25428241,0.80000001,0.2,0.60000002,0.63958335,0.34999999,0,1.9818965,0.36645454,0.66666669,0.96875,4.5,3.0685186,0.13428572,0.28125,0.79166663,0.83333331,3,0.33333334,0,0,0.75,0,0,3,0,0.72916669,1.4583334,1.5,4.3333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,3.5,6,2,6,0,0,0,0,0,0,1.7928572,3.9000001,6,0,0,0.85714287,0,0.163,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0.001,0.001,0,0,0,24.397,11.332,8.908,2.425,0,0,NA,NA,NA,NA,0,2.459,0,0.234,0.727,0,0,10.606,10.213,0.393,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58,0,0,0,0,0,NA,NA,NA,NA,0,1.58,0,0,0,0.008,0,0,0,0,0,0,6.017,0,0,0,0,6.017,2.345,3.507,0.165,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,32.156,11.332,8.908,2.425,0,6.017,2.345,3.507,0.165,0,0,4.039,0,0.234,0.727,0.008,0,10.606,10.214,0.393,0,0,"UKG","United Kingdom",10
"6",205,4754893.333,35.74666667,12.21805748,0.396666667,0.328207104,1.313333333,3.12,0.52,0.703333333,7.026666667,0.72,4.493333333,11.94666667,5.44,1.836666667,31.95,-73.73666667,63.11333333,15.00666667,1.88,3.573,0.321,1.44,5.301,2.212,0.566,1.485,0.497,0.119,15.514,1.4542758,2.1243005,3.0506845,1.1979167,1.9767658,1.4870369,0.26176137,0.12852272,0.39499998,2.2,1.2083334,1.1875,5.3333335,3.3689816,1.4046296,1.4,0.2,0.7241379,1.0742786,0,0,2.4035714,0.25704545,3.8491666,2.498698,3.75,2.8611109,0.46857142,0.32142857,3.4791665,3.2083333,3,3.8333333,6,0,3.75,0,6,3,6,0.1875,0.375,1.5,0,0,0,0,0,0,0,0,0.1875,0.375,1.5,0,0,0,0,0,0,0,0,1.1458334,2.2916667,1.5,1.6666666,6,0,0,0,0,0,0,1.5333333,1.2,2,6,0,0,0,0.124,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,19.161,9.923,7.303,2.619,0.002,0.597,0.597,0,0,0,0.136,0.964,0.065,0.153,0.566,0,0,7.536,6.795,0.742,0,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.577,0,NA,NA,NA,0.048,0.048,0,0,0,0,0.529,0,0,0,0,0,0,NA,NA,NA,0,3.243,0,0,NA,NA,3.243,0.701,2.367,0.175,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,23.106,9.923,7.303,2.619,0.002,3.889,1.347,2.367,0.175,0,0.136,1.493,0.065,0.153,0.566,0,0,7.536,6.795,0.742,0,0.004,"IRE","Ireland",10
"7",210,17033844.33,45.93,24.63565355,1.133333333,1.151621804,1.88,3.993333333,1.48,0.436666667,8.116666667,1.463333333,5.41,16.81333333,5.13,3.17,43.69,-42.35333333,37.93,13.26666667,1.88,6.144,0.09,4.092,8.424,1.455,0.766,1.456,0.454,1.247,24.128,0.91503167,1.4332321,1.5115534,1.3549107,1.1937436,1.2475308,0.11811931,0.045613635,0.190625,1.9,1.5535715,1.15625,2,1.0779706,0.15594135,1.4,0,1.15,1.2557292,0,0,0.67241377,0.091227271,1.9738001,2.6171875,1.5,2.3425925,0.1,0.28125,2.7916667,4.0833335,6,4.3333335,6,0,1.5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.125,3.5,3,5,6,0,0.75,0,0,3,0,0.91428572,1.2,0,0,2.5714285,1.7142857,0,0.446,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0.117,0.117,0,0,0,21.182,10.268,7.595,2.673,0,0,NA,NA,NA,NA,0,0.686,0,0.234,0.257,0,0,10.168,9.564,0.604,0,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.404,0,0,0,0,0,NA,NA,NA,NA,0,0.73,0,0,0,0,0,0.674,0.036,0.638,0,0,13.975,0,0,0,0,13.975,6.987,5.016,1.971,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,37.007,10.268,7.595,2.673,0,13.975,6.987,5.016,1.971,0,0,1.416,0,0.234,0.257,0,0,10.96,9.717,1.243,0,0.06,"NTH","Netherlands",10
"8",211,11326925.33,54.93666667,23.46241214,0.886666667,0.916954087,1.826666667,6.786666667,1.003333333,0.373333333,7.92,1.25,6.386666667,20.06666667,8.4,2.393333333,52.04,-96.28,34.39666667,18.56,1.88,9.117,1.843,2.93,7.923,2.823,0.718,2.948,0.233,0.653,29.188,1.3856595,2.1918879,2.3385129,2.0452628,1.7805735,2.5330248,0.18451704,0.11903409,0.25,2.5999999,2.9186509,1.171875,2,1.469782,0.93956405,2.2,1,1.5,1.3389137,0,0,1.1637931,0.23806818,2.5902584,2.516741,3,4.3990741,0.5,0,4.3125,5,3,5,6,6,3.625,5,2,3,4.5,2.3541665,3.2083333,4.5,2.3333333,6,0,1.5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3.2291667,4.0833335,6,4.3333335,6,0,2.375,0,2,3,4.5,4.0571427,4.1999998,6,6,3.4285715,1.7142857,3,0.392,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0.059,0.059,0,0,0,24.363,13.925,10.587,3.325,0.012,0.569,0.334,0.174,0.061,0,0,0.454,0.161,0,0.145,0.137,0,9.415,9.411,0.002,0.002,0,3.436,1.044,1.044,0,0,0.003,0.001,0.002,0,0,0,1.727,0,0.732,0.917,0.017,0,0.653,0.055,0.597,0,0.01,2.178,0.744,0.744,0,0,0.006,0.005,0.002,0,0,0,1.253,0,0,0,0,0,0.174,0.169,0.005,0,0,14.444,0.27,0.27,0,0,13.712,3.794,8.647,1.27,0,0.002,0.077,0,0,0,0,0.077,0.384,0.384,0,0,0,44.813,15.982,12.644,3.325,0.012,14.289,4.134,8.825,1.331,0,0.002,3.511,0.161,0.732,1.062,0.155,0.077,10.686,10.078,0.605,0.002,0.01,"BEL","Belgium",8
"9",212,582651.3333,42.11,16.84272905,0.306666667,0.500507513,0.996666667,4.8,1.076666667,0.53,4.746666667,1.22,5.22,18.63666667,4.533333333,3.64,43.36,50.18,43.29333333,12.46666667,1.88,6.666,1.703,3.259,5.098,3.367,0.659,1.384,0.309,0.493,22.937,1.4583222,2.4490461,2.7306814,2.1674109,1.7142498,2.4001544,0.21167046,0.010840908,0.41249999,2.5446429,3.4910715,0.84375,2.6666667,1.4083382,0.15000965,1.4,1.2,0.67241377,1.3342569,0,0,1.1354702,0.021681815,4.2426124,3.3303571,3,4.6004629,0.44999999,0.375,3.9583333,5.6666665,6,4.6666665,6,6,2.25,0,0,3,6,3.3541665,3.5833333,6,2.3333333,6,0,3.125,5,0,3,4.5,3.3541665,3.5833333,6,2.3333333,6,0,3.125,5,0,3,4.5,3.2291667,4.0833335,6,4.3333335,6,0,2.375,5,0,0,4.5,4.5416665,5.25,6,3,3.5714285,3.4285715,6,0.101,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0.057,0.057,0,0,0,25.293,12.296,9.054,3.242,0,0.333,0.333,0,0,0,0,3.187,2.529,0.142,0.516,0,0,9.425,9.274,0.151,0,0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.288,1.163,0,1.163,0,0,NA,NA,NA,NA,0,0.104,0,0,0.035,0,0,0.018,0.016,0.002,0,0.002,10.41,0,NA,NA,NA,10.41,4.529,4.505,1.376,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,37.092,13.459,9.054,4.405,0,10.743,4.862,4.505,1.376,0,0,3.291,2.529,0.142,0.551,0,0,9.501,9.347,0.154,0,0.054,"LUX","Luxembourg",10
"10",220,66772759.33,57.11,23.74158326,1.733333333,2.3156309,1.633333333,5.35,1.02,1.183333333,8.14,1.396666667,5.49,24.56,6.58,3.873333333,53.24333333,-72.25,46.33333333,21.36,1.88,12.694,1.717,1.806,8.808,2.936,1.001,1.62,0.826,0.813,32.222,1.4680316,2.3709273,3.2344139,1.5074406,1.6842064,2.1638889,0.34896106,0.28363639,0.41428572,4.3448277,2.4255953,0.58928573,2,1.5727105,1.145421,2,0.60000002,1.137931,1.3160198,0,0,2.6698275,0.56727278,3.6730001,2.8101282,2.25,3.8916667,0.40000001,0.42857143,3.2291667,4.0833335,6,4.3333335,6,0,2.375,0,2,3,4.5,3.25,4.125,6,4.5,6,0,2.375,0,2,3,4.5,0,0,0,0,0,0,0,0,0,0,0,2.8958333,4.1666665,6,4.6666665,6,0,1.625,0,2,0,4.5,2.6380951,2.4000001,4,3,0.42857143,2,4,0.14,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0.01,0.01,0,0,0.042,15.122,5.485,3.401,2.083,0,0.358,0.273,0.085,0,0,0.216,1.055,0.236,0.556,0.123,0,0,7.922,7.843,0.079,0,0.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.975,0.001,0.001,0,0,0,NA,NA,NA,NA,0.422,3.136,0,0,0.528,0,0,1.411,1.218,0.193,0,1.005,24.044,5.1,5.1,0,0,16.36,3.96,11.117,1.284,0,0.925,0,NA,NA,NA,NA,NA,1.632,1.589,0.043,0,0.026,45.281,10.586,8.502,2.084,0,16.719,4.233,11.203,1.284,0,1.564,4.191,0.236,0.556,0.651,0,0,10.975,10.66,0.315,0,1.158,"FRN","France",9
"11",225,8369191.333,33.94,11.96735191,0.95,0.67631733,1.683333333,3.856666667,0.706666667,0.193333333,2.2,0.826666667,5.826666667,13.43,4.29,3.003333333,34.03,-5.153333333,80.79666667,9.91,1.43,10.612,1.193,3.153,7.536,1.717,0.584,0.809,0.118,0.7,26.422,1.4997592,2.6783919,3.7719626,1.5848215,1.5583315,1.2234567,0.26255411,0.24772727,0.27738094,3.5999999,1.5446428,1.625,3.3333333,1.8541666,0.375,1.4,0.40000001,1.5666667,1.5973711,0,0,1.96,0.49545455,4.2778502,3.2254465,5.25,1.8703704,0.23333332,0.32142857,1.8125,1.75,3,4,0,0,1.875,0,0,3,4.5,0.4375,0.375,1.5,0,0,0,0.5,2,0,0,0,0.25,0,0,0,0,0,0.5,2,0,0,0,0.97916663,1.9583333,4.5,3.3333333,0,0,0,0,0,0,0,1.1595238,0.60000002,0,0,2.6428571,1.7142857,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.849,4.093,1.611,1.484,0.998,0,NA,NA,NA,NA,0,0.255,0,0,0.255,0,0,5.501,5.046,0.455,0,0,6.815,5.254,4.118,0.953,0.183,0,NA,NA,NA,NA,0,1.089,0.756,0.146,0.027,0,0.107,0.437,0.091,0.345,0,0.035,4.211,3.46,2.82,0.518,0.122,0,NA,NA,NA,NA,0,0.645,0.468,0.019,0.008,0,0.031,0.02,0.01,0.011,0,0.086,6.719,0,NA,NA,NA,6.719,3.116,3.121,0.483,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,27.595,12.807,8.549,2.955,1.303,6.719,3.116,3.121,0.483,0,0,1.99,1.224,0.165,0.29,0,0.139,5.958,5.147,0.811,0,0.121,"SWZ","Switzerland",10
"12",230,46507212.33,44.74666667,18.89969933,0.93,1.208452183,2.03,4.526666667,0.86,0.48,6.16,1.143333333,4.096666667,17.59666667,6.91,2.316666667,38.7,-77.77333333,66.46666667,15.97333333,1.88,9.251,2.337,2.395,6.501,1.235,0.593,2.025,0.101,0.217,24.656,1.4419456,1.8570992,1.8243175,1.8898809,2.1036661,2.3354938,0.36507145,0.063000001,0.66714287,3.5,3.1547618,0.625,4.6666665,2.8301709,0.99367523,1.6,1.4,1.3,1.1453338,0,0,1.3181034,0.126,1.7291666,2.1360013,0.75,4.0064816,0.33428571,1,3.3958333,5.5416665,6,4.1666665,6,6,1.25,5,0,0,0,1.75,3.5,6,2,6,0,0,0,0,0,0,1.75,3.5,6,2,6,0,0,0,0,0,0,2.8333333,4.1666665,6,4.6666665,0,6,1.5,0,0,3,3,2.8809524,3,3,3,3.4285715,0.85714287,4,0.162,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,14.352,5.802,3.562,2.24,0,0.317,0.139,0.178,0,0,0,0.107,0.003,0.019,0.001,0.084,0,8.117,7.982,0.135,0,0.009,4.709,3.203,3.183,0.02,0,0,NA,NA,NA,NA,0,0.975,0.092,0.226,0.654,0,0,0.529,0.48,0.049,0,0.002,3.33,0.522,0.429,0.092,0,0,NA,NA,NA,NA,0,1.516,0.084,0.011,0.013,0.243,0,1.287,0.711,0.576,0,0.006,11.039,0,NA,NA,NA,11.039,1.592,7.952,1.495,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,33.593,9.526,7.174,2.352,0,11.356,1.731,8.13,1.495,0,0,2.598,0.179,0.255,0.668,0.327,0,9.933,9.172,0.761,0,0.017,"SPN","Spain",10
"13",235,10327942.67,50.01,17.82202814,1.063333333,1.729529501,2.173333333,5.373333333,0.413333333,0.556666667,6.246666667,0.8,6.11,18.74666667,8.546666667,2.23,44.55333333,-105.76,75.08666667,15.39,1.88,11.568,1.858,2.022,5.936,1.196,0.549,0.979,0.003,0.174,24.285,1.2948341,2.1832292,2.4279168,1.9385417,1.3492019,2.4759259,0.35207143,0.021375,0.68276787,3,2.9083333,0.96875,0,0.40987414,0.81974828,1.8,2,1.5666667,1.1618056,0,0,0.91666669,0.042750001,3.1700001,1.91875,2.625,3.6277778,1.0842857,0.28125,3.875,3.875,6,3.5,6,0,3.875,3,5,3,4.5,3,5,6,2,6,6,1,1,0,3,0,1.6458334,3.2916667,6,1.1666666,6,0,0,0,0,0,0,3.1666667,5.3333335,6,3.3333333,6,6,1,1,0,3,0,1.8285714,2.4000001,3,0,1,2.5714285,2,0.088,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,25.147,9.741,6.85,2.892,0,2.95,2.84,0.11,0,0,0,0.109,0,0,0.109,0,0,11.978,11.561,0.407,0.01,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.509,0.693,0.463,0.23,0,0.01,0.01,0,0,0,0,1.172,0,0,0.321,0,0,0.627,0.485,0.142,0,0.006,6.703,0,NA,NA,NA,6.04,1.038,5.001,0,0,0,0,NA,NA,NA,NA,NA,0.655,0.655,0,0,0.008,34.447,10.435,7.313,3.122,0,9,3.888,5.111,0,0,0,1.281,0,0,0.43,0,0,13.261,12.701,0.55,0.01,0.383,"POR","Portugal",10
