"","X1401","X1402","X1403","X1404","X1405","X1406","X1407","X1408","X1409","X1410","X1411","X1413","X1414","X1416","X1417","X1418","X1419","X1420","X1421","X1422","X1423","X1424","X1425","X1426","X1427","X1428","X1429","X1430","X1431","X1432","X1433","X1434","X1435"
"1401",NA,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1
"1402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1403",0,1,NA,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1
"1404",1,1,0,NA,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"1405",0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1406",0,0,0,1,1,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
"1407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1408",1,1,1,1,1,1,1,NA,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1409",0,0,1,0,0,0,1,0,NA,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
"1410",1,1,1,1,0,0,1,0,1,NA,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1
"1411",0,0,1,0,0,0,1,0,1,0,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"1413",0,0,0,0,0,0,0,1,1,0,1,NA,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
"1414",1,1,1,0,0,0,1,0,1,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0
"1416",1,1,1,1,0,0,1,1,1,1,0,1,1,NA,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"1417",1,1,1,0,1,0,1,0,1,1,0,1,0,0,NA,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0
"1418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1420",1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,NA,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1
"1421",1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,NA,1,0,1,0,0,0,0,1,0,1,1,1,1,0
"1422",0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,NA,0,1,0,0,0,1,0,0,1,0,0,0,1
"1423",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"1424",0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,0,0,0,1,1
"1425",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"1426",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1
"1427",1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,NA,1,1,0,1,0,1,1,1
"1428",0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,1,0,1,1
"1429",1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,NA,1,1,0,1,1,1
"1430",1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,NA,1,1,1,1,1
"1431",1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,NA,0,1,1,1
"1432",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0
"1433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1434",0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,1
"1435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
